# All mobility data calculated at Tbath = 298.0 K
E/N(Td) \ K0(cm^2/Vs) of, AMIFOSTINE_1, AMIFOSTINE_2, AMIFOSTINE_3, AMIFOSTINE_4, AZAMETHIPHOS_1, AZAMETHIPHOS_2, AZAMETHIPHOS_3, AZAMETHIPHOS_4, AZAMETHIPHOS_5, AZAMETHIPHOS_6, BENTHIAVALICARB_1, BENTHIAVALICARB_2, BENTHIAVALICARB_3, BENTHIAVALICARB_4, BENTHIAVALICARB_5, BENTHIAVALICARB_6, BROMCHLORBUTEROL_R_1, BROMCHLORBUTEROL_R_2, BROMCHLORBUTEROL_R_3, BROMCHLORBUTEROL_R_4
  0.00                  , 1.4725, 1.5367, 1.5469, 1.5451, 1.3309, 1.3346, 1.3241, 1.3274, 1.3195, 1.3229, 1.1602, 1.2114, 1.1899, 1.1946, 1.2218, 1.1773, 1.3302, 1.2921, 1.265, 1.3156
 25.25                  , 1.470863425925926, 1.5356242835011618, 1.5455221009549795, 1.5437728635390304, 1.3287134887593672, 1.3324065486134313, 1.3228416943521595, 1.3252185745140388, 1.3172909376031694, 1.3210587669870733, 1.157974848309737, 1.2087328806398068, 1.187171684428656, 1.191896654275093, 1.2190337188070601, 1.17533516370577, 1.3282648117294236, 1.2892903725205611, 1.2625667456556082, 1.3141009894459104
 50.50                  , 1.4692268518518519, 1.5345485670023238, 1.5441442019099592, 1.5424457270780612, 1.3265269775187345, 1.3302130972268627, 1.321583388704319, 1.3230371490280777, 1.3150818752063387, 1.3192175339741465, 1.155749696619474, 1.2060657612796137, 1.1844433688573122, 1.189193308550186, 1.2162674376141205, 1.1733703274115401, 1.3263296234588469, 1.2864807450411224, 1.2601334913112163, 1.3126019788918206
 75.75                  , 1.467217213114754, 1.5335029276693457, 1.542969808027923, 1.5410455439814816, 1.322647388486466, 1.3264765810655423, 1.3194305214723927, 1.3195254392666158, 1.3112716502649508, 1.3161491228070175, 1.152626586003924, 1.2021281752824375, 1.1804138138138138, 1.1853107744107745, 1.2120096074380164, 1.1704694490818028, 1.3231280567267152, 1.281916544117647, 1.2563803035778822, 1.3099922171602125
101.00                  , 1.4616649812734082, 1.5286844121532366, 1.5388102891728312, 1.536258505670447, 1.3154326375711574, 1.3196313397129187, 1.314632343076186, 1.3131586914995224, 1.3043362948960302, 1.3103644391408114, 1.1467620437956205, 1.1953364485981308, 1.1731434567901236, 1.1785462051709759, 1.2045731457800513, 1.1650248756218904, 1.3170786398467431, 1.2741695333943275, 1.249906901217862, 1.3045778568041726
126.25                  , 1.4519425735294118, 1.519011953125, 1.5309846153846154, 1.527149445324881, 1.303916471277843, 1.3088311533888228, 1.3059292682926829, 1.3032116071428572, 1.293610781671159, 1.3008120381406436, 1.1373766329346826, 1.1851521676300578, 1.1620585501858738, 1.1683618800188946, 1.193495949855352, 1.1562579021636876, 1.3072239285714287, 1.2628046777546778, 1.2402026234567902, 1.2952376889848811
151.50                  , 1.437601318851823, 1.5045795865633076, 1.5192962633451959, 1.5137574057843997, 1.2882768079800497, 1.2943187579214195, 1.2927979100696643, 1.289727827191868, 1.2794695652173913, 1.2876863144493953, 1.1254105263157894, 1.1723665267576076, 1.1481091780131114, 1.155634103749358, 1.179638993710692, 1.144892721681189, 1.2935613333333333, 1.2483107078039928, 1.2278512928442573, 1.281911809045226
176.75                  , 1.4197045302013422, 1.4862064397424102,  , 1.4967288659793814, 1.2701210169491526, 1.2773607883817428, 1.276616149068323, 1.2736173852573018, 1.2632279889426399, 1.2720511514305652, 1.1116946552645643, 1.157705970982143, 1.1322326191751473, 1.141068231441048, 1.1637812135355892, 1.1316043596730245, 1.277195017301038, 1.231634669211196, 1.2133158961367954, 1.2659104180945855
202.00                  ,  ,  ,  ,  , 1.2500275524475524, 1.2585544655929723, 1.257767323121809, 1.2555965262379896, 1.245471979985704, 1.254499109131403, 1.0968987647389108, 1.141499696048632, 1.1150739965095986, 1.1250206650831354, 1.1463716707021792, 1.116818753709199, 1.258779706959707, 1.2134324435318276, 1.197498566552901, 1.2477076379066478
227.25                  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.0813690404345202, 1.124512853470437, 1.0971440383463151, 1.1079619339045288, 1.1281548944337811, 1.1010150458715597,  ,  ,  ,  
252.50                  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.0656,  ,  ,  ,  ,  ,  ,  ,  ,  
